tipo_del_edificio,edificio,direccin,distrito,clase,unidades,consumo,puesta_en_servicio,potencia_kwp,empresa_instaladora
administrativo,jmd_fuencarral,avenida_monforte_de_lemos_40_28029_madrid,fuencarral_el_pardo,energía_activa,kwh,00,20220401,nan,empresa_desconocida
administrativo,jmd_hortaleza,carretera_canillas_2_28043_madrid,hortaleza,energía_activa,kwh,98540,20220401,nan,empresa_desconocida
administrativo,jmd_hortaleza,carretera_canillas_2_28043_madrid,hortaleza,energía_reactiva,kvarh,61300,20220401,nan,empresa_desconocida
administrativo,jmd_latina,avenida_las_aguilas_2_a_28044_madrid,latina,energía_activa,kwh,131960,20220401,nan,empresa_desconocida
administrativo,jmd_latina,avenida_las_aguilas_2_a_28044_madrid,latina,energía_reactiva,kvarh,14680,20220401,nan,empresa_desconocida
administrativo,jmd_retiro,plaza_daoiz_y_velarde_2_28007_madrid,retiro,energía_activa,kwh,78220,20220401,nan,empresa_desconocida
administrativo,jmd_retiro,plaza_daoiz_y_velarde_2_28007_madrid,retiro,gas,m3,00,20220401,nan,empresa_desconocida
administrativo,jmd_san_blas,avenida_arcentales_28_28022_madrid,san_blas_canillejas,energía_activa,kwh,146300,20220401,nan,empresa_desconocida
administrativo,jmd_san_blas,avenida_arcentales_28_28022_madrid,san_blas_canillejas,energía_reactiva,kvarh,9550,20220401,nan,empresa_desconocida
administrativo,jmd_san_blas,avenida_arcentales_28_28022_madrid,san_blas_canillejas,gas,m3,00,20220401,nan,empresa_desconocida
administrativo,jmd_tetuán,calle_bravo_murillo_357_28020_madrid,tetuan,energía_activa,kwh,71500,20220401,nan,empresa_desconocida
administrativo,jmd_tetuán,calle_bravo_murillo_357_28020_madrid,tetuan,energía_reactiva,kvarh,170,20220401,nan,empresa_desconocida
administrativo,jmd_tetuán,calle_bravo_murillo_357_28020_madrid,tetuan,gas,m3,00,20220401,nan,empresa_desconocida
administrativo,jmd_usera,avenida_rafaela_ybarra_41_28026_madrid,usera,energía_activa,kwh,00,20220401,nan,empresa_desconocida
administrativo,jmd_usera,avenida_rafaela_ybarra_41_28026_madrid,usera,energía_reactiva,kvarh,36160,20220401,nan,empresa_desconocida
administrativo,jmd_villa_de_vallecas,paseo_federico_garcia_lorca_12_28031_madrid,villa_de_vallecas,energía_activa,kwh,201630,20220401,nan,empresa_desconocida
administrativo,jmd_villa_de_vallecas,paseo_federico_garcia_lorca_12_28031_madrid,villa_de_vallecas,energía_reactiva,kvarh,65260,20220401,nan,empresa_desconocida
administrativo,jmd_villaverde,calle_arroyo_bueno_53_28021_madrid,villaverde,energía_activa,kwh,49960,20220401,nan,empresa_desconocida
administrativo,jmd_villaverde,calle_arroyo_bueno_53_28021_madrid,villaverde,energía_reactiva,kvarh,00,20220401,nan,empresa_desconocida
administrativo,jmd_villaverde,calle_arroyo_bueno_53_28021_madrid,villaverde,gas,m3,00,20220401,nan,empresa_desconocida
administrativo,jmd_villaverde_anexo,calle_arroyo_bueno_53_28021_madrid,villaverde,energía_activa,kwh,00,20220401,nan,empresa_desconocida
administrativo,jmd_villaverde_anexo,calle_arroyo_bueno_53_28021_madrid,villaverde,energía_reactiva,kvarh,00,20220401,nan,empresa_desconocida
administrativo,jmd_villaverde_anexo,calle_arroyo_bueno_53_28021_madrid,villaverde,gas,m3,00,20220401,nan,empresa_desconocida
administrativo,madrid_emprende,calle_principe_de_vergara_140_planta_1ª_28002_madrid,chamartin,energía_activa,kwh,70160,20220401,nan,empresa_desconocida
administrativo,madrid_emprende,calle_principe_de_vergara_140_planta_1ª_28002_madrid,chamartin,energía_reactiva,kvarh,750,20220401,nan,empresa_desconocida
cultural,museo_de_historia,calle_fuencarral_78_28004_madrid,centro,energía_activa,kwh,100,20220401,nan,empresa_desconocida
cultural,museo_de_historia,calle_fuencarral_78_28004_madrid,centro,energía_reactiva,kvarh,00,20220401,nan,empresa_desconocida
cultural,museo_de_historia,calle_fuencarral_78_28004_madrid,centro,gas,m3,00,20220401,nan,empresa_desconocida
deportivo,pabellón_jesús_rollán,calle_avena_11_28026_madrid,usera,energía_activa,kwh,00,20220401,nan,empresa_desconocida
deportivo,pabellón_jesús_rollán,calle_avena_11_28026_madrid,usera,energía_reactiva,kvarh,1440,20220401,nan,empresa_desconocida
deportivo,pabellón_jesús_rollán,calle_avena_11_28026_madrid,usera,gas,m3,00,20220401,nan,empresa_desconocida
mixto,palacio_cibeles,plaza_cibeles_1_28014_madrid,retiro,energía_activa,kwh,4129170,20220401,nan,empresa_desconocida
mixto,palacio_cibeles,plaza_cibeles_1_28014_madrid,retiro,energía_reactiva,kvarh,158940,20220401,nan,empresa_desconocida
mixto,palacio_cibeles,plaza_cibeles_1_28014_madrid,retiro,gas,m3,00,20220401,nan,empresa_desconocida
