Número,Código Ayto,Centro,Dirección,Coordenada-X,Coordenada-Y,Latitud,Longitud,Superficie (m2),Uso del edificio,Adscripción,Distrito,Potencia KWp,Empresa instaladora,Puesta en servicio
65.0,35.0,CC Y BIBLIOTECA BUENAVISTA,"AV DE LOS TOREROS, 5",443092.0,4475923.0,40.4320021057146,-3.67092933307802,1743.9618666666668,cultural, JMD Salamanca , Salamanca ,18.511834128143455,FERROVIAL,2018-11-13
66.0,2074.0,CC JOSE LUIS LÓPEZ VÁZQUEZ,"C/ FEBRERO, 4",451431.0,4477509.0,40.4468185923002,-3.57274116382091,1743.9618666666668,cultural, JMD San Blas Canillejas , San Blas Canillejas ,15.0,DRAGADOS,2018-11-19
67.0,1974.0,JMD SAN BLAS,"AV/ DE ARCENTALES, 26",448295.0,4476161.0,40.4344858647358,-3.6096102461466,1242.6928333333333,administrativo, JMD San Blas Canillejas , San Blas Canillejas ,16.51542372140949,DRAGADOS,2019-03-07
68.0,2033.0,CDM ANTONIO DÍAZ MIGUEL,"C/JOAQUIN DICENTA, 1 ",441058.0,4480296.0,40.4712542658614,-3.69532569789638,4661.848685714286,deportivo, JMD Tetuán , Tetuán ,25.0,Empresa desconocida,2018-01-15
69.0,2011.0,CC EDUARDO ÚRCULO Y BIBLIOTECA MARÍA ZAMBRANO,"PLAZA DE DONOSO, 5",440857.0,4480052.0,40.4690329914409,-3.69766200679649,1743.9618666666668,cultural, JMD Tetuán , Tetuán ,18.511834128143455,FERROVIAL,2018-11-12
70.0,1026.0,CSS SAN FILIBERTO,"C/ SAN FILIBERTO, 5 BJ ",439298.0,4470826.0,40.3858176778342,-3.71518188811652,751.7957500000001,social, JMD Usera , Usera ,14.560321808799788,AURA,2018-03-05
71.0,1096.0,CMM ORCASUR,"AV ORCASUR, 64",440559.0,4468845.0,40.3680537472289,-3.70012965685136,751.7957500000001,social, JMD Usera , Usera ,14.560321808799788,AURA,2018-02-19
72.0,1095.0,CC ORCASUR Y BIBLIOTECA GABRIEL GARCÍA MÁRQUEZ," PLAZA PUEBLO, 1 BJ1",440472.0,4468702.0,40.3667683247534,-3.7011410630838,1743.9618666666668,cultural, JMD Usera , Usera ,30.0,AURA,2018-10-16
73.0,1092.0,JMD USERA,"AV/. RAFAELA YBARRA, 41",439670.0,4470445.0,40.3824125300917,-3.7107515747822304,1242.6928333333333,administrativo, JMD Usera , Usera ,5.0,AURA,2018-12-14
74.0,1894.0,CDM ORCASUR,"C/ MOREJA, 3",440727.0,4469292.0,40.3702199337385,-3.69946890060774,4661.848685714286,deportivo, JMD Usera , Usera ,30.132938213671185,AURA,2019-02-14
75.0,2441.0,EI PENSAMIENTO (MIRASIERRA),"C/ MIRASIERRA, 27 ",448843.0,4473366.0,40.409341,-3.602926,1459.2518472145596,educativo,  JMD Usera , Usera ,15.220080089559456,IMESAPI,2019-01-03
76.0,1890.0,CDM VICÁLVARO (MARGOT MOLÉS),"Pº POLIDEPORTIVO, 3",448815.0,4473344.0,40.409140618584,-3.60326473285039,6.856,deportivo, JMD Vicálvaro , Vicálvaro ,40.0,ELECTOSA ,2018-05-09
77.0,1763.0,CC VALDEBERNARDO Y BIBLIOTECA FRANCISCO AYALA,"C/ BULEVAR INDALECIO PRIETO, 21",447278.0,4472321.0,40.399828914104,-3.62128189057037,3.2,cultural, JMD Vicálvaro , Vicálvaro ,20.0,PECSA,2018-11-12
78.0,1028.0,CC EL MADROÑO Y BIBLIOTECA VICÁLVARO,"C/ VILLARDONDIEGO, 36",448357.0,4472920.0,40.405292721436,-3.6086161200017104,2.452,cultural, JMD Vicálvaro , Vicálvaro ,11.575901145961339,PECSA,2018-11-12
79.0,1352.0,JMD VICÁLVARO,"PLAZA DON ANTONIO DE ANDRÉS, 18",448578.0,4472583.0,40.4022704797848,-3.6059845330840705,1.674,administrativo, JMD Vicálvaro , Vicálvaro ,11.572802595695604,PECSA,2018-11-12
80.0,1393.0,CSS PUERTO DE LAS PILAS,"C/ FUENTIDUEÑA,16",447222.0,4469088.0,40.370701,-3.621679,1.021,social, JMD Villa de Vallecas , Villa de Vallecas ,20.0,PECSA,2018-11-12
81.0,277.0,CMM VILLA DE VALLECAS ,"C/ PICO DE MAMPODRE, 6",447264.0,4469823.0,40.3773243810878,-3.6212400484216896,815.0,social, JMD Villa de Vallecas , Villa de Vallecas ,6.0,PECSA,2018-11-16
82.0,1383.0,JMD VILLA DE VALLECAS,"Pº FEDERICO GARCÍA LORCA, 12",447248.0,4469998.0,40.3788998244401,-3.6214547858699,3.29,administrativo, JMD Villa de Vallecas , Villa de Vallecas ,11.579238658972502,PECSA,2018-11-16
83.0,1770.0,CDM FÉLIX RUBIO,"C/CIUDADANÍA, 9",441281.0,4467659.0,40.3574296786752,-3.69152880469694,4661.848685714286,deportivo, JMD Villaverde , Villaverde ,30.132938213671185,AURA,2018-03-07
